Front,Back
"Gripping strategies: Ai-yotsu and Kenka-yotsu","Ai-yotsu is same side (both people using right or left grip). Kenka-yotsu is opposite side (one person using right grip, the other using left grip)."
"Ouchi transition into Seoi","Dominant foot steps in across and body rotates out into seoi rather than pushing forward into ouchi."
"De ashi barai","Forward kuzushi. Half step with dominant foot. Other foot sweeps inward on its side pushing uke's advancing foot. Arms pull down in direction of sweep."
"Hiza guruma","Forward kuzushi. Dominant foot steps past uke at 45 degree angle while pulling uke forward. The other foot lifts and catches uke's far knee."
"Sasae tsuri komi ashi","Forward kuzushi. Non-dominant foot steps past uke at 45 degree angle while pulling uke forward. The other foot catches uke's far ankle and blocks it."
"Osoto gari","Back kuzushi. Non-dominant foot steps past uke while arms bring uke's upper body back. Other foot reaps uke's calf out with full body rotation."
"Ouchi gari","Back kuzushi. Dominant foot steps toward uke's opposite foot while pulling uke in. Other foot steps behind. First foot reaps same side leg out in circular motion with toe on ground. Tori falls forward onto uke."
"Seoi nage","Forward kuzushi. Dominant foot steps toward uke's opposite foot pulling uke forward. Dominant arm hooks into armpit. Tori spins 180 degrees crouching with feet together. Pulls uke over shoulder."
"Uki goshi","Side kuzushi. Tori steps in front grabbing uke's belt from behind. Hip halfway across uke's body. Pull uke over hip."
"O goshi","Side kuzushi. Tori steps in front grabbing uke's belt from behind. Hip all the way across uke's body. Pull uke over hip."
"Bogyo for O goshi (inside leg)","Pass around and face uke."
"Bogyo for Seoi (outside leg)","Pass around and face uke."
"Bogyo for Osoto gari (step away)","Counter with arms and hip check."
"Kesa gatame","Scarf hold. Dominant arm under uke's head. Other arm around uke's far arm. Body perpendicular with legs spread wide. Head down. Pressure with chest and hips."
"Yoko shiho gatame","Side four quarter hold. Perpendicular with chest over uke's chest. Upper arm under uke's head. Other arm across hip gripping belt or gi. Legs spread wide."
"Kami shiho gatame","Upper four quarter hold. At uke's head facing feet. Arms wrap above shoulders gripping belt or gi. Chest presses down with head low. Legs spread wide."
"Kata gatame","Shoulder hold. Trap uke's arm against uke's neck with your head. Arm wraps around uke's head gripping hands together. Pressure with shoulder and head. Outer leg posted for base."
"Uki gatame","Floating hold. Control uke's straight arm while lying perpendicular across uke. Float weight applying pressure to arm and chest."
"Kuzure kami shiho gatame","Modified upper four quarter hold. Like kami shiho but one arm under uke's armpit. Tori off center toward trapped arm side."
"Escape from Kesa gatame","Trap the leg. Bridge and roll. Back door escape."
"Escape from Kami shiho gatame","Swing legs to roll and flip uke."
"Hadaka jime","Rear naked choke. Arm around uke's neck (bicep one side, forearm other). Other hand clasps arm or behind uke's head and squeeze."
"Nami juji jime","Normal cross choke. Both hands grip deep inside collar. Palms down with thumbs under gi. Pull collars tight across neck."
"Kata juji jime","Half cross choke. One hand inside collar (palm down, thumb in). Other hand outside collar (palm up, thumb out). Pull and rotate grips."
"Uke is flat facedown - double hand belt pull, crab ride, Kami shiho gatame","From uke lying facedown, grab belt with both hands and pull up. Three tugs on chest gi. Roll toward a corner careful of uke's arm. Once both are sitting, hook inside of each leg and scoot close. Pull back onto chest and flip to one side landing them on their back with one leg still hooked. Then secure kami shiho gatame."
"Kuzure kami shiho gatame to Kata juji jime","Start in kami shiho gatame. Move one arm to trap uke's arm into kuzure kami shiho gatame. Then attack with kata juji jime choke from that position."
"Side approach - power half nelson","From side of turtle, grab collar with arm parallel to spine. Other arm under uke's arm grabbing your wrist. Leverage to turn over with shoulder pressure."
"Side approach - chicken wing","From side of turtle, grab gi with arm parallel to spine. Other arm through armpit grabbing first hand. Turn over to pin."
"Attack the turtle - crossface turnover","Reach under chest to grab far shoulder. Other arm across face gripping far shoulder. Push with legs and pull arms to turn over. Keep chest contact."
"Attack the turtle - far lapel turnover","Reach over and grab far lapel. Pull 3 times. Lay on back beside uke feeding arm across neck. Flip uke over yourself sliding arm around neck. Pin with kata gatame."
"Guard pass - Pants/ankle pull pass","Standing in open guard, grip pants at ankles. Push legs to side while stepping past. Drive knee onto belly."
"Guard pass - Knee slicer","In full guard, grab belt and push down while lifting torso to make space. Slide one leg between uke's legs. Grab knee and push to ground. Inner knee steps over uke's leg. Pass to side control."
"Guard pass - Shuck the leg","In guard, control one leg and shuck it to the side. Pass to opposite side."
"Guard pass - Hug the leg and split the leg","In half guard, sit back leveraging uke forward. Outer arm under top knee for space. Hug top leg to chest. Other arm splits legs apart."
"Newaza skills and drills - Uki gatame floating drill","Mount uke with arms crossed to armpits. Slide 180 degrees into north south keeping arms held. Can lead to kuzure kami shiho or continue 360 degrees."
"Newaza skills and drills - Knee on belly","From side control, knee on stomach or solar plexus. Other leg posted out. Control upper body with grips. Apply downward pressure."
"Newaza skills and drills - Side to side knee on belly drill","Transition knee on belly side to side across uke. Maintain pressure and control throughout."
"Zempo kaiten ukemi","Forward rolling breakfall. Tuck chin. Roll diagonally from shoulder to opposite hip. Slap mat coming out of roll."
"Yoko ukemi","Side breakfall. Fall to side slapping mat with falling-side arm. Chin tucked. Arm at 45 degrees."
"Koho ukemi","Back breakfall. Fall backward tucking chin. Slap both arms at 45 degrees as back hits mat."
"Mae ukemi","Front breakfall. Fall forward turning head to side (never face down). Forearms and palms hit mat (forming mount fuji). Body slightly arched."
"Tsugi ashi","Sliding step. Move one foot forward then slide the other foot to maintain balance and positioning."
"Tai sabaki","Rotation and footwork to avoid attack and create angles for counterattack."
"Proper tying of belt","Left side crosses and goes under both. Then right side crosses over and under left."
