Front,Back
Tachi Waza,Standing techniques
Standing techniques,Tachi Waza
Nage Waza,Throwing techniques
Throwing techniques,Nage Waza
Ashi Waza,Foot and leg techniques
Foot and leg techniques,Ashi Waza
Kosoto Gake,Small outside hook
Small outside hook,Kosoto Gake
Ashi Guruma,Leg wheel
Leg wheel,Ashi Guruma
Harai Tsuri Komi Ashi,Lifting pulling foot sweep
Lifting pulling foot sweep,Harai Tsuri Komi Ashi
Koshi Waza,Hip techniques
Hip techniques,Koshi Waza
Tsuri Goshi,Lifting hip throw
Lifting hip throw,Tsuri Goshi
Hane Goshi,Springing hip throw
Springing hip throw,Hane Goshi
Te Waza,Hand techniques
Hand techniques,Te Waza
Kata Guruma,Shoulder wheel
Shoulder wheel,Kata Guruma
Sutemi Waza,Sacrifice techniques
Sacrifice techniques,Sutemi Waza
Tomoe Nage,Circle throw
Circle throw,Tomoe Nage
Yoko Tomoe Nage,Side circle throw
Side circle throw,Yoko Tomoe Nage
Yoko Otoshi,Side drop
Side drop,Yoko Otoshi
Bogyo,Throw defense
Throw defense,Bogyo
Kaeshi-no-waza,Counter techniques
Counter techniques,Kaeshi-no-waza
Kumi Kata,Gripping strategy
Gripping strategy,Kumi Kata
Katame Waza,Grappling techniques
Grappling techniques,Katame Waza
Osaekomi Waza,Holding techniques
Holding techniques,Osaekomi Waza
Kuzure Kesa Gatame,Modified scarf hold
Modified scarf hold,Kuzure Kesa Gatame
Mune Gatame,Chest hold
Chest hold,Mune Gatame
Ushiro Kesa Gatame,Reverse scarf hold
Reverse scarf hold,Ushiro Kesa Gatame
Tate Shiho Gatame,Vertical four-quarter hold
Vertical four-quarter hold,Tate Shiho Gatame
Uki Gatame,Floating hold
Floating hold,Uki Gatame
Juji Gatame,Cross arm lock
Cross arm lock,Juji Gatame
Hon Kesa Gatame,Basic scarf hold
Basic scarf hold,Hon Kesa Gatame
Makura Kesa Gatame,Pillow scarf hold
Pillow scarf hold,Makura Kesa Gatame
Kuzure Ude Garami,Modified coiled arm lock
Modified coiled arm lock,Kuzure Ude Garami
Ashi Ude Garami,Leg-assisted coiled arm lock
Leg-assisted coiled arm lock,Ashi Ude Garami
Ashi Ude Gatame,Leg arm lock
Leg arm lock,Ashi Ude Gatame
Shime/Jime,Choke
Choke,Shime/Jime
Shime Waza,Choking techniques
Choking techniques,Shime Waza
Kata Juji Jime,Half cross choke
Half cross choke,Kata Juji Jime
Hairi Waza,Transition techniques
Transition techniques,Hairi Waza
Ude Garami,Coiled arm lock
Coiled arm lock,Ude Garami
Fusegi,Escapes or defenses
Escapes or defenses,Fusegi
Ukemi Waza,Falling techniques
Falling techniques,Ukemi Waza
Nage No Kata,Forms of throwing
Forms of throwing,Nage No Kata
Waza Ari Awasete Ippon,A full point by adding two waza-ari scores
A full point by adding two waza-ari scores,Waza Ari Awasete Ippon
Yudansha,Holder of any black belt rank
Holder of any black belt rank,Yudansha
Mudansha,Holder of any rank below black belt
Holder of any rank below black belt,Mudansha
Newaza,Techniques from a supine position
Techniques from a supine position,Newaza
Yudanshakai,Black belt association
Black belt association,Yudanshakai
Uchi Komi,"Repetition attack practice without throwing, done with partner"
"Repetition attack practice without throwing, done with partner",Uchi Komi
Sute Geiko,"Alternate throwing practice without resistance, done with partner"
"Alternate throwing practice without resistance, done with partner",Sute Geiko
Kansetsu Waza,Joint locking techniques
Joint locking techniques,Kansetsu Waza
Tandoku Renshu,Solo practice
Solo practice,Tandoku Renshu
Ju,The principle of gentleness or giving way
The principle of gentleness or giving way,Ju
Sotai Renshu,Practice in pairs
Practice in pairs,Sotai Renshu
Do,Way of life
Way of life,Do
Keiko,Practice in general
Practice in general,Keiko
Judo,Gentle way
Gentle way,Judo
Yonkyu,Fourth class (kyu) judo rank
Fourth class (kyu) judo rank,Yonkyu
Jujitsu,Gentle arts
Gentle arts,Jujitsu
Zarei,Kneeling bow
Kneeling bow,Zarei
Tokui Waza,Favorite technique
Favorite technique,Tokui Waza
Ritsurei,Standing bow
Standing bow,Ritsurei
Bushido,Way of the warrior
Way of the warrior,Bushido
Gatame,Lock or hold
Lock or hold,Gatame
Budo,Martial arts
Martial arts,Budo
Yoko,Side or lateral
Side or lateral,Yoko
Kyu,Class of belt ranks in judo below black belt
Class of belt ranks in judo below black belt,Kyu
Gokyu,Fifth class (kyu) judo rank
Fifth class (kyu) judo rank,Gokyu
Dan,Step or degree in the black belt rank
Step or degree in the black belt rank,Dan
Happo No Kuzushi,Formal eight directions of off-balancing
Formal eight directions of off-balancing,Happo No Kuzushi
"Name the three divisions of mat techniques (Katame Waza) in English and Japanese.","Holding Techniques / Osaekomi Waza; Strangulation Techniques / Shime Waza; Joint Lock Techniques / Kansetsu Waza"
"What are the two principles of Kodokan Judo as defined by Dr. Kano?","Mutual benefit and welfare / Jita Kyoei; Maximum efficiency / Seiroyku Zenyo"
"What is the ultimate goal of judo as defined by Dr. Kano?","The harmonious development and eventual perfection of the human character"
