Front,Back
Cross grip lapel,(will add details later)
Ko Soto Gari,(will add details later)
Ko Uchi Gari,(will add details later)
Okuri Ashi Barai,(will add details later)
Uchi Mata,(will add details later)
Tai Otoshi,tori rotates back to uke offset at the hip 70/30; far ankle blocks uke's far ankle; tori lowers as pulling uke over leg; tori raises to pop uke over leg.
Harai Goshi,(will add details later)
Koshi Guruma,(will add details later)
Tsurikomi Goshi,(will add details later)
Counter Osoto Gari with Osoto Gaeshi,(will add details later)
Counter O Goshi with outside leg jump around to De Ashi Barai,(will add details later)
Gyaku Juji Jime,(will add details later)
Arm Bar Drill A & B,(will add details later)
Technical Drill,(will add details later)
Compression Juji,(will add details later)
Near & Far Arm Switch,(will add details later)
Juji Roll,(will add details later)
Face Down Juji,(will add details later)
Uke facedown - Sankaku Gatame,(will add details later)
Turtle - Gut Wrench,(will add details later)
Turtle - Sankaku Osaekomi,from side; pull uke out to make space; step over and around neck; knee and foot touch; whale forward; triangle lock; hook leg with arm.
Turtle - Sankaku Jime,from top; pull uke out to make space; knee against neck; other foot around waste; knee and foot touch; grab belt and knee side elbow; pull uke back over head and onto back; pull arm under face; triangle neck and pinch thighs to choke.
Turtle - Double hand belt pull drill,(will add details later)
Turtle - Slap; pass; and roll into Ushiro Kesa Gatame,(will add details later)
Guard - Scissor sweep,(will add details later)
Half guard - Uke grabs own belt,(will add details later)
Half guard - Uke grabs tori over shoulder,(will add details later)
Half guard - Uke grabs tori around torso,(will add details later)
Combo Ko Uchi into Uchi Mata,(will add details later)
Combo Ko Soto into Tai Otoshi,(will add details later)
Seoi Nage bogyo into drop seoi, Uke bogyo's seoi; tori drops to knees between legs and pulls uke over sholder while rolling into kesa.
Seoi Nage blocked into kouchi makikomi, Uke pushes back to block seoi; tori crab walks toward uke and hooks leg to make uke fall back (kouchi makikomi).
